physics,a boksenberg,0.34503277967117707
physics,a dewald,0.37267799624996495
physics,a fitzler,0.37267799624996495
physics,a gadea,0.37267799624996495
physics,a nagaytsev,0.5270462766947299
physics,adolfas k gaigalas,0.32128773156099955
physics,alexander malesevic,0.40824829046386296
physics,ann b lee,0.3131121455425747
physics,ann marks,0.32128773156099955
physics,barbara lotze,0.35355339059327373
physics,blaise gassend,0.30678599553894814
physics,c ellyett,0.5031546054266276
physics,carlos oliveira cruz,0.31008683647302115
physics,charles d spencer,0.3892494720807615
physics,christoph fahlke,0.32071349029490925
physics,d bazzacco,0.37267799624996495
physics,d l balabanski,0.37267799624996495
physics,d r napoli,0.37267799624996495
physics,d schneider,0.36760731104690386
physics,d tonev,0.37267799624996495
physics,dana campbell,0.42257712736425823
physics,david a stumpf,0.33806170189140655
physics,david c clarke,0.30678599553894814
physics,david j lamb,0.3464101615137754
physics,david london,0.35805743701971643
physics,dieter p lotze,0.35355339059327373
physics,dietrich schroeer,0.3892494720807615
physics,e k mcalister,0.42257712736425823
physics,elizabeth h simmons,0.4662524041201569
physics,emily s pharez,0.3002346500163206
physics,f giovannelli,0.36760731104690386
physics,g de angelis,0.37267799624996495
physics,giovanni amelinocamelia,0.3015113445777636
physics,guido damico,0.47673129462279606
physics,h j herrmann,0.4662524041201569
physics,hans wenzel,0.337099931231621
physics,hermann haertel,0.3834824944236852
physics,i s zheltova,0.3194382824999699
physics,j l nagle,0.3492151478847891
physics,j r crespo lpezurrutia,0.36760731104690386
physics,j steiger,0.36760731104690386
physics,jack boulogne,0.36273812505500586
physics,jeffrey van blarcom,0.32128773156099955
physics,jg marques,0.31008683647302115
physics,jingye zhang,0.37267799624996495
physics,john o dimmock,0.3464101615137754
physics,juha javanainen,0.40824829046386296
physics,k d cole,0.32128773156099955
physics,k o zell,0.37267799624996495
physics,kris sigurdson,0.47673129462279606
physics,l r galiakberova,0.3194382824999699
physics,lili wang,0.32128773156099955
physics,linda rowan,0.3834824944236852
physics,lloyd w hillman,0.3464101615137754
physics,lola sabaugraziati,0.36760731104690386
physics,m van dijk,0.30678599553894814
physics,marc kamionkowski,0.47673129462279606
physics,marco velli,0.30678599553894814
physics,mario liu,0.46709936649691375
physics,martin fischer,0.32071349029490925
physics,n macdonald,0.3162277660168379
physics,n marginean,0.37267799624996495
physics,nita sinha,0.35805743701971643
physics,o mller,0.37267799624996495
physics,p pejovic,0.37267799624996495
physics,p petkov,0.37267799624996495
physics,p pieruschka,0.3131121455425747
physics,paul c derose,0.32128773156099955
physics,peter lewis,0.34099716973523675
physics,q zhong,0.37267799624996495
physics,rahul sinha,0.35805743701971643
physics,robert s jampel,0.31622776601683794
physics,russell a chipman,0.3464101615137754
physics,s a safran,0.3131121455425747
physics,s brant,0.37267799624996495
physics,s bykadi,0.32128773156099955
physics,s frauendorf,0.37267799624996495
physics,s lunardi,0.37267799624996495
physics,s m lenzi,0.37267799624996495
physics,s raj chaudhury,0.41702882811414954
physics,srini devadas,0.30678599553894814
physics,stefano bellucci,0.40824829046386296
physics,t e faber,0.4303314829119352
physics,t schenkel,0.36760731104690386
physics,tom stonier,0.36760731104690386
physics,v a baikov,0.3194382824999699
physics,vg volkov,0.3194382824999699
physics,yimin jiang,0.46709936649691375
physics,yoshiyuki takahashi,0.3464101615137754
physics,zhang yh,0.37267799624996495
thermodynamics,a a saboury,0.38254602783800296
thermodynamics,a c taquini,0.3347193406976015
thermodynamics,a calvo hernndez,0.3328751429678414
thermodynamics,a cameron,0.4948716593053935
thermodynamics,a cemal eringen,0.3333333333333333
thermodynamics,a divsalar,0.38254602783800296
thermodynamics,a durante,0.3328751429678414
thermodynamics,a i panin,0.43617837214497934
thermodynamics,a medina,0.3328751429678414
thermodynamics,a pattoret,0.32780503405359296
thermodynamics,a r sasksena,0.4
thermodynamics,a roytburd,0.40946151242666284
thermodynamics,a s monayenkova,0.36913583036771336
thermodynamics,a v mikhailov,0.30265996338319096
thermodynamics,alan t pope,0.31108550841912763
thermodynamics,ami jo,0.3084246847506244
thermodynamics,amir h meimand,0.43301270189221935
thermodynamics,amparo galindo,0.44570017797690936
thermodynamics,andrew j haslam,0.44570017797690936
thermodynamics,andrew walcott beckwith,0.3609974361905777
thermodynamics,anthony j short,0.43301270189221935
thermodynamics,arthemy v kiselev,0.3244428422615251
thermodynamics,b s murty,0.3138229572304239
thermodynamics,b s tsukerblat,0.3424150435005797
thermodynamics,berry groisman,0.43301270189221935
thermodynamics,brandon d owens,0.30983866769659335
thermodynamics,bruce brown,0.387940088722229
thermodynamics,c servant,0.5163977794943223
thermodynamics,c sirtori,0.35066719218483605
thermodynamics,ch shakuri,0.39557740264262
thermodynamics,chanaiporn danvirutai,0.3849001794597505
thermodynamics,charles c church,0.30151134457776363
thermodynamics,christian herbig,0.3138229572304239
thermodynamics,christopher c gerry,0.3689323936863109
thermodynamics,christopher k eoll,0.30123203803835463
thermodynamics,christopher l ford,0.4099457958749615
thermodynamics,d l fuks,0.30265996338319096
thermodynamics,d n t jones,0.32357511446471704
thermodynamics,d w fletcher,0.32357511446471704
thermodynamics,daejong kim,0.35445877847928337
thermodynamics,daniel g s capelluto,0.3084246847506244
thermodynamics,daniel zwanziger,0.35176323534072423
thermodynamics,david ronis,0.3830161731427133
thermodynamics,david sagan,0.3216337604513385
thermodynamics,david w cooke,0.3159667442917844
thermodynamics,david young,0.387940088722229
thermodynamics,dimitrios morikis,0.3160408149121049
thermodynamics,donald j winzor,0.4099457958749615
thermodynamics,donghyun lee,0.35445877847928337
